InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536380,22961,JAM MAKING SET PRINTED,24,12/1/2010 9:41,1.45,17809.0,United Kingdom
536388,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 9:59,5.95,16250.0,United Kingdom
536388,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 9:59,5.95,16250.0,United Kingdom
536388,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,12/1/2010 9:59,7.95,16250.0,United Kingdom
536388,21363,HOME SMALL WOOD LETTERS,3,12/1/2010 9:59,4.95,16250.0,United Kingdom
536388,21411,GINGHAM HEART  DOORSTOP RED,3,12/1/2010 9:59,4.25,16250.0,United Kingdom
536388,22318,FIVE HEART HANGING DECORATION,6,12/1/2010 9:59,2.95,16250.0,United Kingdom
536388,22464,HANGING METAL HEART LANTERN,12,12/1/2010 9:59,1.65,16250.0,United Kingdom
536388,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,12/1/2010 9:59,0.42,16250.0,United Kingdom
536388,22922,FRIDGE MAGNETS US DINER ASSORTED,12,12/1/2010 9:59,0.85,16250.0,United Kingdom
536388,22969,HOMEMADE JAM SCENTED CANDLES,12,12/1/2010 9:59,1.45,16250.0,United Kingdom
536388,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,12/1/2010 9:59,0.85,16250.0,United Kingdom
536388,21115,ROSE CARAVAN DOORSTOP,4,12/1/2010 9:59,6.75,16250.0,United Kingdom
536388,22469,HEART OF WICKER SMALL,12,12/1/2010 9:59,1.65,16250.0,United Kingdom
536388,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/2010 9:59,1.65,16250.0,United Kingdom
536394,21506,"FANCY FONT BIRTHDAY CARD, ",24,12/1/2010 10:39,0.42,13408.0,United Kingdom
536394,21485,RETROSPOT HEART HOT WATER BOTTLE,12,12/1/2010 10:39,4.95,13408.0,United Kingdom
536394,22349,DOG BOWL CHASING BALL DESIGN,12,12/1/2010 10:39,3.75,13408.0,United Kingdom
536394,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,12/1/2010 10:39,1.25,13408.0,United Kingdom
536394,85152,HAND OVER THE CHOCOLATE   SIGN ,12,12/1/2010 10:39,2.1,13408.0,United Kingdom
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2010 10:39,2.55,13408.0,United Kingdom
536394,22652,TRAVEL SEWING KIT,20,12/1/2010 10:39,1.65,13408.0,United Kingdom
536395,22188,BLACK HEART CARD HOLDER,8,12/1/2010 10:47,3.95,13767.0,United Kingdom
536395,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 10:47,1.69,13767.0,United Kingdom
536395,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/2010 10:47,0.55,13767.0,United Kingdom
536395,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/2010 10:47,0.55,13767.0,United Kingdom
536395,21212,PACK OF 72 RETROSPOT CAKE CASES,24,12/1/2010 10:47,0.55,13767.0,United Kingdom
536395,21484,CHICK GREY HOT WATER BOTTLE,8,12/1/2010 10:47,3.45,13767.0,United Kingdom
536395,21314,SMALL GLASS HEART TRINKET POT,8,12/1/2010 10:47,2.1,13767.0,United Kingdom
536395,22730,ALARM CLOCK BAKELIKE IVORY,4,12/1/2010 10:47,3.75,13767.0,United Kingdom
536395,22727,ALARM CLOCK BAKELIKE RED ,8,12/1/2010 10:47,3.75,13767.0,United Kingdom
536395,22729,ALARM CLOCK BAKELIKE ORANGE,8,12/1/2010 10:47,3.75,13767.0,United Kingdom
536395,22726,ALARM CLOCK BAKELIKE GREEN,8,12/1/2010 10:47,3.75,13767.0,United Kingdom
536395,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,12/1/2010 10:47,3.95,13767.0,United Kingdom
536395,22867,HAND WARMER BIRD DESIGN,48,12/1/2010 10:47,2.1,13767.0,United Kingdom
536395,22866,HAND WARMER SCOTTY DOG DESIGN,48,12/1/2010 10:47,2.1,13767.0,United Kingdom
536408,22537,MAGIC DRAWING SLATE DINOSAUR,24,12/1/2010 11:41,0.42,14307.0,United Kingdom
536408,22533,MAGIC DRAWING SLATE BAKE A CAKE ,24,12/1/2010 11:41,0.42,14307.0,United Kingdom
536408,20982,12 PENCILS TALL TUBE SKULLS,12,12/1/2010 11:41,0.85,14307.0,United Kingdom
536408,21832,CHOCOLATE CALCULATOR,12,12/1/2010 11:41,1.65,14307.0,United Kingdom
536408,21915,RED  HARMONICA IN BOX ,12,12/1/2010 11:41,1.25,14307.0,United Kingdom
536408,21914,BLUE HARMONICA IN BOX ,12,12/1/2010 11:41,1.25,14307.0,United Kingdom
536408,21544,SKULLS  WATER TRANSFER TATTOOS ,12,12/1/2010 11:41,0.85,14307.0,United Kingdom
536408,22813,PACK 3 BOXES BIRD PANNETONE ,12,12/1/2010 11:41,1.95,14307.0,United Kingdom
536408,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,12/1/2010 11:41,3.95,14307.0,United Kingdom
536408,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,12/1/2010 11:41,3.75,14307.0,United Kingdom
536408,21479,WHITE SKULL HOT WATER BOTTLE ,4,12/1/2010 11:41,3.75,14307.0,United Kingdom
536408,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,12/1/2010 11:41,2.1,14307.0,United Kingdom
